Version,Code,Description,
ICD9,290.0,"Senile dementia, uncomplicated",
ICD9,290.10,"Presenile dementia, uncomplicated",
ICD9,290.11 ,Presenile dementia with delirium,
ICD9,290.13,Presenile dementia with depressive features,
ICD9,290.21,Senile dementia with depressive features,
ICD9,290.40,"Vascular dementia, uncomplicated",
ICD9,290.41,"Vascular dementia, with delirium",
ICD9,290.8,Other specified senile psychotic conditions,
ICD9,290.9,Unspecified senile psychotic condition,
ICD9,291.1,Alcohol-induced persisting amnestic disorder,
ICD9,291.2,Alcohol-induced persisting dementia,
ICD9,292.82,Drug-induced persisting dementia,
ICD9,294.10,Dementia in conditions classified elsewhere without behavioral disturbance,
ICD9,294.11,Dementia in conditions classified elsewhere with behavioral disturbance,
ICD9,294.20,"Dementia, unspecified, without behavioral disturbance",
ICD9,294.21,"Dementia, unspecified, with behavioral disturbance",
ICD9,331.0,Alzheimer's disease,
ICD9,331.11,Pick's disease,
ICD9,331.19,Other frontotemporal dementia,
ICD9,331.6,Corticobasal degeneration,
ICD9,331.82,Dementia with lewy bodies,
ICD9,331.89,Other cerebral degeneration,
ICD9,332.0,Paralysis agitans,
ICD9,333.4,Huntington's chorea,
ICD10,F01 ,Vascular dementia,
ICD10,F01.5 ,Vascular dementia,
ICD10,F01.50 ,Vascular dementia without behavioral disturbance,
ICD10,F01.51 ,Vascular dementia with behavioral disturbance,
ICD10,F02 ,Dementia in other diseases classified elsewhere,
ICD10,F02.8 ,Dementia in other diseases classified elsewhere,
ICD10,F02.80 ,Dementia in other diseases classified elsewhere without behavioral disturbance,
ICD10,F02.81 ,Dementia in other diseases classified elsewhere with behavioral disturbance,
ICD10,F03 ,Unspecified dementia,
ICD10,F03.9 ,Unspecified dementia,
ICD10,F03.90 ,Unspecified dementia without behavioral disturbance,
ICD10,F03.91 ,Unspecified dementia with behavioral disturbance,
ICD10,F10.27 ,Alcohol dependence with alcohol-induced persisting dementia,
ICD10,F10.97 ,"Alcohol use, unspecified with alcohol-induced persisting dementia",
ICD10,F18.17 ,Inhalant abuse with inhalant-induced dementia,
ICD10,F18.97 ,"Inhalant use, unspecified with inhalant-induced persisting dementia",
ICD10,F19.17 ,Other psychoactive substance abuse with psychoactive substance-induced persisting dementia,
ICD10,F19.97 ,"Other psychoactive substance use, unspecified with psychoactive substance-induced persisting dementia",
ICD10,G10 ,Huntington's disease,
ICD10,G20 ,Parkinson's disease,
ICD10,G30 ,Alzheimer's disease,
ICD10,G30.0 ,Alzheimer's disease with early onset,
ICD10,G30.1 ,Alzheimer's disease with late onset,
ICD10,G30.8 ,Other Alzheimer's disease,
ICD10,G30.9 ,"Alzheimer's disease, unspecified",
ICD10,G31 ,"Other degenerative diseases of nervous system, not elsewhere classified",
ICD10,G31.0 ,Frontotemporal dementia,
ICD10,G31.01 ,Pick's disease,
ICD10,G31.09 ,Other frontotemporal dementia,
ICD10,G31.8 ,Other specified degenerative diseases of nervous system,
ICD10,G31.83 ,Dementia with Lewy bodies,
ICD10,G31.85 ,Corticobasal degeneration,
ICD10,G31.89 ,Other specified degenerative diseases of nervous system,